timestamp,Unnamed: 0,close,volume,return_1d,return_3d,return_7d,return_30d,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,volatility_30d,volume_change_1d,next_return,direction
2023-01-31,30,23139.283203125,22837828665,0.013097316769725253,0.004697709058017585,0.02221258353845501,0.3918298795788224,22664.43637210363,21756.019423406266,67.14463006513373,908.416948697366,931.6542800809391,-23.237331383573064,2615.240522925503,-0.16054663799154212,0.025259482888651652,1
2023-02-01,31,23723.76953125,26683255504,0.025259482888651652,-0.0021366057379135217,0.02620961337385941,0.42156641871370537,22828.191565280606,21915.354004108256,75.80935233874905,912.8375611723495,927.8879523069314,-15.0503911345819,2588.8830721226177,0.16837970436713579,-0.01061797692681965,0
2023-02-02,32,23471.87109375,32066936882,-0.01061797692681965,0.02765886980593968,0.019063864658907415,0.4071985449328561,22927.62036588637,22040.52627271574,70.79943860796577,887.0940931706318,919.7240059639305,-32.62991279329867,2530.0057485924863,0.201762538952301,-0.0009606745041729203,0
2023-02-03,33,23449.322265625,27083066007,-0.0009606745041729203,0.013398818787011102,0.016057806206658976,0.3905586741129059,23008.157157960584,22153.104869515002,59.27404005722997,855.0522884455822,906.7831006417011,-51.730812196118904,2458.4408501962794,-0.1554208589781949,-0.005009723012217249,0
2023-02-04,34,23331.84765625,15639298538,-0.005009723012217249,-0.016520219288243543,0.01305877466244243,0.38577021113499366,23058.099974013778,22246.752998384647,56.62516705221368,811.3469756291306,887.6881297987869,-76.3411541696563,2358.3805879798774,-0.422543277265661,-0.01612309690031044,0
2023-02-05,35,22955.666015625,19564262605,-0.01612309690031044,-0.02199249800168057,-0.034444388033496254,0.35415929289186554,23042.30228729735,22302.77332283394,52.61291358260372,739.5289644634104,858.0466775304931,-118.5177130670827,2230.73476816665,0.25096803782236243,-0.008518883333286542,0
2023-02-06,36,22760.109375,23825006542,-0.008518883333286542,-0.029391591058277045,-0.0035038883968575574,0.34237714549015097,22998.798010761173,22338.735351531333,48.05583667224447,660.0626592298395,818.4395912828875,-158.376932053048,2071.8262693669817,0.21778198458198417,0.022151986720186922,1
2023-02-07,37,23264.291015625,27187964471,0.022151986720186922,-0.002895468958151848,0.005402406435957241,0.3611897654418532,23039.71469867099,22411.18488037611,56.69400119034083,628.5298182948791,780.4497465032176,-151.91992820833855,1901.7596873225873,0.1411524451450452,-0.013965290320121615,0
2023-02-08,38,22939.3984375,25371367758,-0.013965290320121615,-0.0007086519778570777,-0.0330626670739147,0.3339531583134159,23024.258538786766,22452.358701500438,48.03151065162745,571.899837286328,738.7328332487152,-166.83299596238726,1692.896912929768,-0.06681620887572037,-0.04883996317743455,0
2023-02-09,39,21819.0390625,32572572185,-0.04883996317743455,-0.041347354575267725,-0.07041756597283422,0.25064041407435456,22838.607525185194,22403.182509641116,39.101197925728044,435.42501554407863,678.0632053309956,-242.638189786917,1453.3103922466607,0.28383193589274835,-0.007693073387383564,0
2023-02-10,40,21651.18359375,27078406594,-0.007693073387383564,-0.06933834436611841,-0.07668190370307382,0.20720984437309986,22655.73302124244,22344.99903471056,37.45593979150412,310.73398653187905,604.5895485118447,-293.8555619799656,1215.7446144484006,-0.16867460020643132,0.010146854341645195,1
2023-02-11,41,21870.875,16356226232,0.010146854341645195,-0.046580272818019464,-0.06261710078749994,0.15905419486485628,22534.877205836965,22308.435800490195,40.104230177974934,226.4414053467699,528.953485474191,-302.5120801274211,1030.6546066807236,-0.3959679209623733,-0.003779998514005456,0
2023-02-12,42,21788.203125,17821046406,-0.003779998514005456,-0.0014132582746504418,-0.05085728681669943,0.09435806540155878,22419.9169995457,22268.438512283876,30.905387777111045,151.47848726182565,453.45334755859136,-301.9748602967657,923.8338903321409,0.08955734368201429,0.0009132665684197239,1
2023-02-13,43,21808.1015625,23918742607,0.0009132665684197239,0.007247546909874059,-0.041827910262403956,0.03965440906380113,22325.731047497084,22233.145366795336,37.96273389273044,92.58568070174806,381.2758844723463,-288.69020377059826,888.5962921010646,0.3421626352393665,0.018924303145655852,1
2023-02-14,44,22220.8046875,26792596581,0.018924303145655852,0.015999802819960385,-0.04485356237265792,0.06417407065720604,22309.579751932364,22232.201678654492,39.56369382225073,77.37807327787232,320.4936747948371,-243.11560151696477,835.4818146210287,0.12015071282045331,0.09392266116037784,1
2023-02-15,45,24307.841796875,32483312909,0.09392266116037784,0.11564233440544447,0.05965471863193894,0.1482410683345432,22617.146133624643,22390.545937313465,54.94729033511111,226.60019631117757,301.71432473326036,-75.11412842208279,851.1872437097346,0.21239883602903853,-0.028154173176657027,0
2023-02-16,46,23623.474609375,39316664596,-0.028154173176657027,0.0832430572497247,0.0827000465834562,0.11634112921283091,22772.02617091454,22484.394632357144,51.196475667710224,287.631538557398,298.8976889817426,-11.266150424344573,818.9417632939707,0.21036498666694547,0.03988096453648349,1
2023-02-17,47,24565.6015625,41358451255,0.03988096453648349,0.10552259056212443,0.13460778973724552,0.18738756361010878,23048.05173679052,22642.489789941603,57.69317434451842,405.5619468489167,320.23101630427425,85.33093054464246,787.6326387440282,0.05193183806359114,0.0030805588480080637,1
2023-02-18,48,24641.27734375,19625427158,0.0030805588480080637,0.013717200797228601,0.12667085078900597,0.1685644839529481,23293.231681456527,22794.037812488612,59.076622229539055,499.1938689679155,356.0242254091914,143.1696435587241,775.8509027547019,-0.5254796404972394,-0.012728023845912761,0
2023-02-19,49,24327.642578125,25555105670,-0.012728023845912761,0.029807976192907315,0.11655111890393677,0.0728104427110361,23452.40934683118,22910.11303177879,59.593366426904886,542.2963150523901,393.2791750582404,149.01713999414972,810.0395180244466,0.3021426471006956,0.020614650916729094,1
2023-02-20,50,24829.1484375,28987376573,0.020614650916729094,0.010728289080545572,0.13852865029731998,0.0900674867331428,23664.257621890993,23055.126643649153,63.873874345824014,609.1309782418393,436.45002861896927,172.68094962287006,870.304394834906,0.1343086171241803,-0.01581991113645098,0
2023-02-21,51,24436.353515625,31252098714,-0.01581991113645098,-0.008316282685604248,0.09970605742155358,0.07552403524741513,23783.06165933448,23159.344802883854,57.97840856212191,623.7168564506246,473.90373630189475,149.81312014872987,898.9287821457275,0.07812787525965526,-0.01012875204423358,0
2023-02-22,52,24188.84375,30199996781,-0.01012875204423358,-0.005705395731594898,-0.004895459163729576,0.054695583000757386,23845.498591051513,23236.916929524643,58.59572226716078,608.5816615268704,500.8395181803364,107.74214334653402,916.1677540598029,-0.033665000953318036,-0.00997780485063493,0
2023-02-23,53,23947.4921875,30476264066,-0.00997780485063493,-0.03550892017981633,0.013715915354653774,0.05791642910292705,23861.191810183216,23290.390152234922,66.65762785234715,570.8016579482937,514.8320279342316,55.96963001406209,918.5961008872192,0.009147924319442557,-0.03129201289670536,0
2023-02-24,54,23198.126953125,26811744928,-0.03129201289670536,-0.05067149489829803,-0.05566623743757548,0.003472102534363586,23759.171399386443,23283.45520913266,61.0966229368829,475.7161902537846,507.00882381054015,-31.29263355675556,918.2709328200225,-0.12024174387201936,-0.0009807668166905703,0
2023-02-25,55,23175.375,16100721565,-0.0009807668166905703,-0.041898189118692364,-0.05948970596371339,0.006191075184803774,23669.348796434508,23275.340234998894,59.629588192312646,394.00856143561396,484.4086867784034,-90.40012534278947,917.3841270271103,-0.399489976939706,0.016648614774302573,1
2023-02-26,56,23561.212890625,16644534842,0.016648614774302573,-0.016130260899578808,-0.03150447829207914,0.020906020653319146,23652.711285084253,23296.782747824618,62.52734117005442,355.92853725963505,458.7125799622101,-102.78404270257505,918.1083087940438,0.03377570842428268,-0.0016273269569350157,0
2023-02-27,57,23522.87109375,22660763494,-0.0016273269569350157,0.013998722452083667,-0.05261063813920819,0.021352930032247475,23632.734633422282,23313.725196096573,62.0843452231186,319.00943732570886,430.7718845302361,-111.76244720452723,917.7521102341922,0.3614536969107087,-0.01596393470118429,0
